,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,1.79,"21 km ENE of Hydesville, California",1095758581800,1483911000586,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21396942,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21396942&format=geojson,,,,,reviewed,0,49,nc,21396942,",nc21396942,",",nc,",",nearby-cities,origin,phase-data,",8,0.1982,0.13,157,md,earthquake,"M 1.8 - 21 km ENE of Hydesville, California",1999,Point,"[-123.8633333, 40.6218333, 19.927]",1999
1,1.38,"9 km SW of Oak Shores, California",1095758944550,1483911008343,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21396896,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21396896&format=geojson,,,,,reviewed,0,29,nc,21396896,",nc21396896,",",nc,",",nearby-cities,origin,phase-data,",16,0.06667,0.1,71,md,earthquake,"M 1.4 - 9 km SW of Oak Shores, California",1998,Point,"[-121.0513333, 35.7131667, 4.551]",1998
2,1.85,"27 km NW of Benton, California",1095759184350,1524604853454,,https://earthquake.usgs.gov/earthquakes/eventpage/nc51147194,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc51147194&format=geojson,,,,,reviewed,0,53,nc,51147194,",nc51147194,nn00147552,",",nc,nn,",",nearby-cities,origin,phase-data,",17,0.06937,0.08,106,md,earthquake,"M 1.9 - 27 km NW of Benton, California",1997,Point,"[-118.6603333, 38.0221667, 3.763]",1997
3,2.85,"27 km NW of Benton, California",1095759220970,1524604828543,,https://earthquake.usgs.gov/earthquakes/eventpage/nc51147195,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc51147195&format=geojson,,,,,reviewed,0,125,nc,51147195,",nc51147195,ci10047121,nn00113930,",",nc,ci,nn,",",focal-mechanism,nearby-cities,origin,phase-data,",35,0.07027,0.07,160,md,earthquake,"M 2.9 - 27 km NW of Benton, California",1996,Point,"[-118.6566667, 38.0205, 2.161]",1996
4,1.9,"28 km NW of Benton, California",1095759588667,1524604853819,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00147558,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00147558&format=geojson,,,,,reviewed,0,56,nn,00147558,",nn00147558,",",nn,",",origin,phase-data,",5,0.025,0.0866,133.14,mb,earthquake,"M 1.9 - 28 km NW of Benton, California",1995,Point,"[-118.7097, 37.9923, 2.3]",1995
5,1.3,"27 km NW of Benton, California",1095759858353,1524604854143,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00147561,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00147561&format=geojson,,,,,reviewed,0,26,nn,00147561,",nn00147561,",",nn,",",origin,phase-data,",4,0.053,0.1101,137.05,mb,earthquake,"M 1.3 - 27 km NW of Benton, California",1994,Point,"[-118.6784, 38.0119, 3.3]",1994
6,1.13,California-Nevada border region,1095759919230,1524604828847,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21396902,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21396902&format=geojson,,,,,reviewed,0,20,nc,21396902,",nc21396902,nn00113932,",",nc,nn,",",nearby-cities,origin,phase-data,",9,0.04144,0.06,95,md,earthquake,M 1.1 - California-Nevada border region,1993,Point,"[-118.6865, 38.0033333, 5.495]",1993
7,1.5,"27 km NW of Benton, California",1095760057744,1524604854282,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00147562,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00147562&format=geojson,,,,,reviewed,0,35,nn,00147562,",nn00147562,",",nn,",",origin,phase-data,",5,0.037,0.0894,103.33,mb,earthquake,"M 1.5 - 27 km NW of Benton, California",1992,Point,"[-118.6918, 38.0003, 7]",1992
8,1.49,"27 km NW of Benton, California",1095760432770,1524604828986,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21399336,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21399336&format=geojson,,,,,reviewed,0,34,nc,21399336,",nc21399336,nn00113933,",",nc,nn,",",nearby-cities,origin,phase-data,",10,0.04685,0.08,90,md,earthquake,"M 1.5 - 27 km NW of Benton, California",1991,Point,"[-118.681, 38.0065, 5.905]",1991
9,1.97,"5 km W of Paso Robles, California",1095760538490,1483911038877,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21396904,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21396904&format=geojson,,,,,reviewed,0,60,nc,21396904,",nc21396904,",",nc,",",nearby-cities,origin,phase-data,",15,0.1009,0.17,91,md,earthquake,"M 2.0 - 5 km W of Paso Robles, California",1990,Point,"[-120.7466667, 35.6178333, 6.341]",1990
