,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2.68,"16km ENE of Estacion Coahuila, B.C., MX",147319711310,1454031748340,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3318008,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3318008&format=geojson,,,,,reviewed,0,110,ci,3318008,",ci3318008,",",ci,",",origin,phase-data,",3,0.7803,0.89,288,mh,earthquake,"M 2.7 - 16km ENE of Estacion Coahuila, B.C., MX",1257,Point,"[-114.8535, 32.2693333, 6]",1257
1,2.89,"3 km ESE of Aromas, California",147320044800,1481749369110,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020785,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020785&format=geojson,,,,,reviewed,0,128,nc,1020785,",nc1020785,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",57,0.01532,0.12,77,md,earthquake,"M 2.9 - 3 km ESE of Aromas, California",1256,Point,"[-121.6063333, 36.8748333, 5.71]",1256
2,2.84,"31 km NE of Soledad, California",147329823780,1481749382510,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020787,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020787&format=geojson,,,,,reviewed,0,124,nc,1020787,",nc1020787,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",36,0.01712,0.11,64,md,earthquake,"M 2.8 - 31 km NE of Soledad, California",1255,Point,"[-121.0466667, 36.5931667, 8.216]",1255
3,2.17,"21 km SSW of Ferndale, California",147336251740,1481749388509,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020788,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020788&format=geojson,,,,,reviewed,0,72,nc,1020788,",nc1020788,",",nc,",",nearby-cities,origin,phase-data,",9,0.1955,0.05,300,md,earthquake,"M 2.2 - 21 km SSW of Ferndale, California",1254,Point,"[-124.3493333, 40.3958333, 25.825]",1254
4,2.13,"21 km NE of Soledad, California",147339173100,1481749393522,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020789,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020789&format=geojson,,,,,reviewed,0,70,nc,1020789,",nc1020789,",",nc,",",nearby-cities,origin,phase-data,",26,0.00991,0.05,85,md,earthquake,"M 2.1 - 21 km NE of Soledad, California",1253,Point,"[-121.1576667, 36.5608333, 7.69]",1253
5,2.36,"6km SSW of Lucerne Valley, CA",147344536870,1454031459220,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317615,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317615&format=geojson,,,,,reviewed,0,86,ci,3317615,",ci3317615,",",ci,",",origin,phase-data,",10,,0.44,100,mh,earthquake,"M 2.4 - 6km SSW of Lucerne Valley, CA",1252,Point,"[-116.984, 34.3906667, 0.06]",1252
6,2.3,"5 km NE of Day Valley, California",147384060220,1481749403111,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020791,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020791&format=geojson,,,,,reviewed,0,81,nc,1020791,",nc1020791,",",nc,",",nearby-cities,origin,phase-data,",16,0.01892,0.11,76,md,earthquake,"M 2.3 - 5 km NE of Day Valley, California",1251,Point,"[-121.822, 37.0671667, 3.925]",1251
7,3.01,"12 km SW of Trinity Village, California",147398330370,1481749408291,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020794,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020794&format=geojson,,,,,reviewed,0,139,nc,1020794,",nc1020794,",",nc,",",nearby-cities,origin,phase-data,",10,0.1162,0.09,256,md,earthquake,"M 3.0 - 12 km SW of Trinity Village, California",1250,Point,"[-123.6276667, 40.7893333, 28.796]",1250
8,2.88,"19km SSW of Little Lake, CA",147424971610,1454032068700,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317616,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317616&format=geojson,,,,,reviewed,0,128,ci,3317616,",ci3317616,",",ci,",",origin,phase-data,",9,,0.41,89,ml,earthquake,"M 2.9 - 19km SSW of Little Lake, CA",1249,Point,"[-118.0246667, 35.7928333, 0.53]",1249
9,2.28,"27 km ENE of Soledad, California",147430205460,1481749423170,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020801,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020801&format=geojson,,,,,reviewed,0,80,nc,1020801,",nc1020801,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",39,0.03514,0.08,70,md,earthquake,"M 2.3 - 27 km ENE of Soledad, California",1248,Point,"[-121.0616667, 36.5431667, 7.747]",1248
10,2.1,"23 km ENE of Soledad, California",147438859880,1481749431176,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020802,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020802&format=geojson,,,,,reviewed,0,68,nc,1020802,",nc1020802,",",nc,",",nearby-cities,origin,phase-data,",9,0.02072,0.03,118,md,earthquake,"M 2.1 - 23 km ENE of Soledad, California",1247,Point,"[-121.0978333, 36.5198333, 4.147]",1247
11,2.9,"14 km WNW of Othello, Washington",147488668640,1469405485580,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10859418,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10859418&format=geojson,,,,,reviewed,0,129,uw,10859418,",uw10859418,",",uw,",",origin,phase-data,",21,0.05321,0.11,69,md,earthquake,"M 2.9 - 14 km WNW of Othello, Washington",1246,Point,"[-119.3546667, 46.8728333, 2.617]",1246
